Cno ,  Csize , CEdge , CDensity , Cluster Info
C304,3,2,0.75,"[F13A1, HSPB1, F13B]"
C305,3,2,0.75,"[ACTB, NSMAF, PLG]"
C306,3,2,0.75,"[LOXL1, BCHE, CUL2]"
C307,3,2,0.75,"[CALM1, GP6, NOS3]"
C308,3,2,0.75,"[CD1D, P4HTM, CANX]"
C309,3,2,0.75,"[PIGK, ULBP2, CANX]"
C310,3,2,0.75,"[TPR, ADCY10, PCCB]"
C311,3,2,0.75,"[MPST, HSCB, RAE1]"
C312,3,2,0.75,"[SGMS2, CENPO, KIF2C]"
C313,3,2,0.75,"[PLAUR, FAP, LOXL2]"
C314,3,2,0.75,"[BEST1, RPLP2, NEDD4L]"
C315,3,2,0.75,"[UPF3A, CA1, APOA1]"
C316,3,2,0.75,"[NME2P1, MOGAT2, NPC2]"
C317,3,2,0.75,"[CAND1, QDPR, CA9]"
C318,3,2,0.75,"[TPH2, YWHAE, SYBU]"
C319,3,2,0.75,"[DNAJC12, TPH2, TPH1]"
C320,3,2,0.75,"[IYD, HIST2H2BE, TRIM69]"
C321,3,2,0.75,"[TST, MRPL50, CLPP]"
C322,3,2,0.75,"[HELZ, CELA1, CELA3A]"
C323,3,2,0.75,"[PTGIR, PIGN, UGCG]"
C324,3,2,0.75,"[LPAR1, PIGO, PIGU]"
C325,3,2,0.75,"[HAVCR2, PIGM, CERK]"
C326,3,2,0.75,"[NONO, ASAH1, CA2]"
C327,3,2,0.75,"[VWCE, CERK, FBN2]"
C328,3,2,0.75,"[EDN1, COPS6, EDNRB]"
C329,3,2,0.75,"[METTL3, LTF, CAD]"
C330,3,2,0.75,"[SNX27, LTF, TF]"
C331,3,2,0.75,"[PRTN3, ITGAM, IL32]"
C332,3,2,0.75,"[FBLN1, PLSCR4, FGB]"
C333,3,2,0.75,"[ZNRF4, SMPD2, SGPL1]"
C334,3,2,0.75,"[YWHAG, TH, SLC4A7]"
C335,3,2,0.75,"[NME2, RORA, NPC2]"
C336,3,2,0.75,"[HJV, NEO1, TMPRSS6]"
C337,3,2,0.75,"[SERPINE1, PLG, F2]"
C338,3,2,0.75,"[ODAPH, FBN1, SLC4A7]"
C339,3,2,0.75,"[CALR, TF, FGB]"
C340,3,2,0.75,"[LPA, FGB, FBLN5]"
C341,3,2,0.75,"[FYN, GP6, CAD]"
C342,3,2,0.75,"[ELAVL1, OCRL, PTGS2]"
C343,3,2,0.75,"[CA5A, SIRT3, PMPCA]"
C344,3,2,0.75,"[HNRNPC, MMP12, CFTR]"
C345,3,2,0.75,"[ADAMTS10, YTHDC1, HIST2H2BC]"
C346,3,2,0.75,"[XDH, CCDC110, MYC]"
C347,3,2,0.75,"[SPR, BCAP31, FGB]"
C348,3,2,0.75,"[ERH, ACP6, CFTR]"
C349,3,2,0.75,"[ILK, ACP6, CAD]"
C350,3,2,0.75,"[SLC9A3R2, SLC26A3, CFTR]"
C351,3,2,0.75,"[KARS, GPX1, FN1]"
C352,3,2,0.75,"[SLC4A4, ATP2A2, CA4]"
C353,3,2,0.75,"[SLC4A1, CA4, CA2]"
C354,3,2,0.75,"[SGTB, ABCA7, EFEMP2]"
C355,3,2,0.75,"[ADRB2, ABCA7, MGLL]"
C356,3,2,0.75,"[LTN1, DHCR7, CA14]"
C357,3,2,0.75,"[PRKCI, DHCR7, FGB]"
C358,3,2,0.75,"[PRKCB, DHCR7, FN1]"
C359,3,2,0.75,"[FADS1, DHCR7, TACR1]"
C360,3,2,0.75,"[RHOB, DHCR7, SLC4A7]"
C361,3,2,0.75,"[CHRM3, PIGX, SLC4A7]"
C362,3,2,0.75,"[EED, SMPD3, SELENBP1]"
C363,3,2,0.75,"[STOM, SMPD3, FN1]"
C364,3,2,0.75,"[APOB, SMPD3, APOA1]"
C365,3,2,0.75,"[STARD7, GLTP, PIGM]"
C366,3,2,0.75,"[TUBB1, CELA1, ENPP7]"
C367,3,2,0.75,"[OBSL1, GCHFR, CAD]"
C368,3,2,0.75,"[TROAP, CELA3A, SUOX]"
C369,3,2,0.75,"[FBXO7, CELA3A, LOXL2]"
C370,3,2,0.75,"[ALG9, STS, ENPP6]"
C371,3,2,0.75,"[BMP2K, GBA, FN1]"
C372,3,2,0.75,"[SNCA, APOA1, DYNLL1]"
C373,3,2,0.75,"[GART, SEPHS1, FN1]"
C374,3,2,0.75,"[TCTN2, PIGB, PIGQ]"
C375,3,2,0.75,"[POMK, PIGB, PIGM]"
C376,3,2,0.75,"[POU2F1, TXNRD1, FGB]"
C377,3,2,0.75,"[TXNDC17, TXNRD1, DYNLL1]"
C378,3,2,0.75,"[RIPK1, GPX7, CAD]"
C379,3,2,0.75,"[SGTA, GPX7, EFEMP2]"
C380,3,2,0.75,"[IPPK, CERS5, PIGW]"
C381,3,2,0.75,"[ATP2A3, PIGO, CFTR]"
C382,3,2,0.75,"[ACTA2, GM2A, DHCR24]"
C383,3,2,0.75,"[PDE4DIP, GM2A, DYNLL1]"
C384,3,2,0.75,"[SINHCAF, GM2A, SELENBP1]"
